Created,Modified,Archived,Tags,Format,Characters,First line,Full note text,UUID
2026-07-25 10:53,2026-07-25 10:53,,,,141,absorption (med.),"absorption (med.)

The movement and uptake of substances into cells, and across tissues such as skin or intestines, by osmosis and diffusion.",8958880d-8e8d-4b4f-96e8-21ea8d70eb22
2026-07-25 10:53,2026-07-25 10:53,,,,189,Acid,"Acid

A substance which contains hydrogen that can be replaced by a metal, liberates carbon dioxide from carbonates, and in solutions turns litmus red; a substance which can donate protons.",6b1254b1-21c8-460b-9a8b-823394ec62f0
2026-07-25 10:53,2026-07-25 10:53,,,,100,Addition (IGCSE),"Addition (IGCSE)

A reaction in which two or more atoms are joined to a compound without elimination",92ce0cac-eed1-4db6-b334-f764f4daf177
2026-07-25 10:53,2026-07-25 10:53,,,,184,Alkali,"Alkali

A substance which will neutralize an acid to form a salt and water only; a substance which dissolved in water to produce hydroxide ions (OH-); a soluble base; a proton acceptor",e766bb08-e003-48a1-a87f-73d816b1c662
2026-07-25 10:53,2026-07-25 10:53,,,,111,Alkali metals,"Alkali metals

The elements of group 1 in the Periodic Table (litium, sodium, potassium, rubidium, and caesium)",81262636-7164-463e-931b-3bb0b5c02f50
2026-07-25 10:53,2026-07-25 10:53,,,,132,Alkaline earth metals,"Alkaline earth metals

The elements of group 2 in the Periodic Table (beryllium, magnesium, calcium, strontium, barium, and radium).",4244deef-f341-4c38-bf27-16b88089f0d8
2026-07-25 10:53,2026-07-25 10:53,,,,53,Alloy,"Alloy

A mixture or combination of two or more metals",bee0eb77-c5e7-4759-bb31-c3073e8d974b
2026-07-25 10:53,2026-07-25 10:53,,,,240,Allotropy,"Allotropy

The existence of an element in more than one form in the same state. The different forms are called allotropes and differ in their structure, for example, diamond, graphite and buckminster-fullerenes are all allotropes of carbon.",7058dfa8-0809-4ee6-90e7-d6ebc3cc7683
2026-07-25 10:53,2026-07-25 10:53,,,,71,Amphoteric,"Amphoteric

A substance capable of acting both as an acid and as a base",70d5325e-e484-4681-b866-29dc1f581518
2026-07-25 10:53,2026-07-25 10:53,,,,147,Analysis,"Analysis

The determination of the composition and/or structure of a substance or mixture, often by controlled decompostion or instrumental methods",078a22d4-c76e-403b-831e-b9dbe118c729
2026-07-25 10:53,2026-07-25 10:53,,,,68,Anhydrous,"Anhydrous

Without water; for example, anhydrous copper(II) sulphate",6dd0a92f-8c1d-4f9e-9479-0153f102111e
2026-07-25 10:53,2026-07-25 10:53,,,,84,Anion,"Anion

A negatively charged ion which is attracted towards the anode in electrolysis",42703dbe-6753-4de6-8102-caf852fbbf07
2026-07-25 10:53,2026-07-25 10:53,,,,29,Anode,"Anode

The positive electrode",aa33621c-ef2d-4e8d-8aa1-d9ebed37a716
2026-07-25 10:53,2026-07-25 10:53,,,,80,Atom,"Atom

The smallest part of an element which can take part in a chemical reaction",fd4b808d-2c51-4c1a-97cf-6973b067c540
