absorption (med.);The movement and uptake of substances into cells, and across tissues such as skin or intestines, by osmosis and diffusion.
Acid;"A substance which contains hydrogen that can be replaced by a metal, liberates carbon dioxide from carbonates, and in solutions turns litmus red; a substance which can donate protons."
Addition (IGCSE);A reaction in which two or more atoms are joined to a compound without elimination
Alkali;"A substance which will neutralize an acid to form a salt and water only; a substance which dissolved in water to produce hydroxide ions (OH-); a soluble base; a proton acceptor"
Alkali metals;The elements of group 1 in the Periodic Table (litium, sodium, potassium, rubidium, and caesium)
Alkaline earth metals;The elements of group 2 in the Periodic Table (beryllium, magnesium, calcium, strontium, barium, and radium).
Alloy;A mixture or combination of two or more metals
Allotropy;The existence of an element in more than one form in the same state. The different forms are called allotropes and differ in their structure, for example, diamond, graphite and buckminster-fullerenes are all allotropes of carbon.
Amphoteric;A substance capable of acting both as an acid and as a base
Analysis;The determination of the composition and/or structure of a substance or mixture, often by controlled decompostion or instrumental methods
Anhydrous;"Without water; for example, anhydrous copper(II) sulphate"
Anion;A negatively charged ion which is attracted towards the anode in electrolysis
Anode;The positive electrode
Atom;The smallest part of an element which can take part in a chemical reaction
Atomic Weight;Obsolete, but see relative atomic mass below
Atomicity;"The number of atoms in a molecule; for example, the atomicity of hydrogen, H2, is 2."
Avogadro Constant (IGCSE);Is approximately 6 x 1023 mol-1, the number of atoms per mole of 12C
Base;"A substance which reacts with an acid to form a salt and water only; a proton acceptor, for example, OH-, NH3."
Beta-particle;An electron given off by the nucleus of a radioactive substance
Boiling;The change of state from liquid to vapor at the boiling point
Boiling Temperature (point);The temperature at which the vapor pressure of the liquid is equal to the external pressure - usually quoted for atmospheric pressure.
Catalyst (IGCSE);A substance which changes the rate of a reaction, but is itself unchanged in mass at the end of the reaction.
Cathode;The negative electrode
Chromatography;"A method of separating substances; as they move through a stationary phase, the components of the mixture are differentially adsorbed and so move at different rates, producing a chromatogram. Especially useful for separating and identifying the products of hydrolysis of carbohydrates and proteins"
Combustion;Burning, usually in air
Compound;A compound is formed when two or more elements are chemically combined in definite proportions by mass.
Condensation;"The change of state from vapor to liquid; often deliberately induced by cooling, as in a Liebig condenser."
Cracking (IGCSE);"The decomposition of a chemical substance by heat; this usually refers to mineral oils of high boiling temperature being broken down into more volatile components of lower molar mass; unsaturated hydrocarbons are produced in this process."
Crystal;A solid whose atoms are arranged in a definite pattern, giving rise to an external geometric form.
Crystallisation;The process whereby crystals are obtained, either from solution or the molten state, usually by cooling.
Diffusion;The process whereby particles move freely through both gases and solutions to produce a uniform or homogeneous system
Distillation;"The process which occurs when a liquid is converted to a vapor by heating, and then the vapor is recondensed to a liquid; it is used for the separation or purification of liquids. The product is called the distillate."
Electrode;A conductor by which an electric current enters or leaves an electrolyte during electrolysis.
Electrolysis;This occurs when a substance, either in solution or the molten state, is decomposed by the passage of an electric current.
Electrolyte;The substance which undergoes electrolysis, either in solution or the molten state, for example, copper(II) sulphate solution, or molten lead(II) bromide
Electron;"A sub-atomic elementary particle, having unit negative charge and a mass approximately 1/1840 of a proton; it also exhibits wave properties."
Endothermic;A process during which thermal energy is absorbed
Equilibrium (IGCSE);A reaction in which both reactants and products are present and are being dynamically converted into one another.
Evaporation;"The change of state from liquid to vapor below the boiling point; it occurs from the surface of the liquid."
Exothermic;This describes a process which gives out thermal energy
Fermentation;The process whereby complex carbon compounds (mostly carbohydrates) are converted to simpler products by enzymes present in micro-organisms
Filtration;"The process of separating solids from liquids by passing them through a porous material (in the laboratory usually filter paper); the liquid which passes through is called the filtrate; the solid left behind is called the residue"
Fractional distillation (IGCSE);The separation of several liquids which have different boiling points, by collecting the distillates (fractions) at different temperatures
Freezing;Change of state from liquid to solid at a constant temperature
Homologous series (IGCSE);A set of organic compounds with similar chemical properties and a regular gradation of physical properties and for which a general formula can be written.
Hydrocarbon;A compound of carbon and hydrogen only
Ion;An electrically charged particle formed from an atom or group of atoms by loss or gain of electrons, for example Na+, Pb2+, Cl-, SO42-
Indicator;A substance which exhibits different colors in acidic or alkaline conditions, for example litmus.
Isomer;One of two or more substances with the same molecular formulae but different structural formulae.
Isotope (IGCSE);
Melting;The change of state from solid to liquid
Melting temperature (point);The temperature at which the solid and liquid phase of a substance are in equilibrium at a given pressure.
Mineral;A naturally occurring inorganic substance with a characteristic chemical compostion and usually a definite crystal form
Mole (IGCSE);The unit of amount of substance. One mole is that amount of substance which contains as many specified elementary particles as there are atoms in 0.012kg of the isotope 12C
Molecule;The smallest part of a substance which can exist independently and still retain the properties of that substance. For example, Cl2, HCl, H2O, C2H5OH
Neutralisation;The addition of an acid to an alkali, or vice versa, until neither is in excess and the solution is neutral.
Neutron;A sub-atomic elementary particle, having the same mass as a proton but no charge
Ore;A solid, naturally-occurring mineral from which metals or other valuable constituents can be obtained, usually by chemical treatment
Oxidation;The addition of oxygen or the removal of hydrogen. An increase in the oxidation state of an element is oxidation. Oxidation is loss of one or more electrons.
pH scale;"A measure of the hydrogen ion concentration in water, hence of the acidity or alkalinity of a solution. A neutral solution has a pH value of 7; acidic solutions have pH values less than 7; alkaline solutions have pH values greater than 7."
Polymerisation;The process in which two or more molecules of the same compound combine to form larger molecules which have the same empirical formula but a higher molar mass.
Precipitate;An insoluble substance which separates from solution during a chemical reaction.
Proton (IGCSE);"A sub-atomic elementary particle, with unit positive charge and unit mass, expressed in relative atomic mass units.(The actual unit is approximately 166 x 10-24)"
Proton number;The number of protons in the nucleus of an element
Reduction;The removal of oxygen or the addition of hydrogen. A decrease in the oxidation state of an element is reduction. Reduction is the gain of one or more electrons.
Redox reaction;A reaction where reduction and oxidation are occurring
Refine;"To purify; especially applied to crude oil"
Relative atomic mass (IGCSE);The ratio of the average mass per atom of an element relative to 1/12 the mass of an atom of 12C.
Relative molecular mass (IGCSE);The sum of the relative atomic masses of the elements in a compound
Reversible reaction (IGCSE);"A reaction which can be made to proceed either forwards or backwards under suitable conditions; a reaction in which both products and reactants are present at equilibrium."
Salt;"The product obtained when part or all of the hydrogen of an acid is replaced by a metal (or the ammonium group). An ionic solid formed from positive ions, other than H+ ions, and negative ions, other than OH- and O2- ions; for example NaCl, CuSO4"
Saturated compound;An organic compound containing no carbon-carbon multiple bonds
Saturated solution (IGCSE);A solution which remains in equilibrium with undissolved solute
Smelting;The extraction of a metal from its ore, using heat, normally by reduction with carbon or carbon monoxide.
Solute;A solute is a substance which dissolves in a solvent to form a solution
State symbols;"These are included in the equation for a reaction to indicate the physical state of the substances. They are as follows: (g), gaseous; (l), liquid; (s), solid; (aq), aqueous - dissolved in water."
Sublimation;The change from solid to gas and back to solid without passing through the liquid state.
Synthesis;'Putting together'. The formation of a substance from simpler substances. The adjective synthetic is often applied to substances which are artificially produced and not obtained from naturally occurring material.
Unsaturated;An organic compound containing one or more carbon-carbon multiple bonds
activation energy;The minimum energy required for a collision to be able to result in a reaction
addition;a reaction in which two or more atoms are joined to a compound without elimination
addition polymerisation;the process by whcih two or more molecules of a monomer combine by an addition reaction to form larger molecules of a new compound which has the same empirical formula but a larger molar mass
addition reaction;a reaction in which one molecule adds onto another to give a single product
adrenaline;A hormone produced by the adrenal gland in mammals, in response to low blood glucose level, exercise and stress. Adrenaline causes a breakdown of the carbohydrate food store glycogen to glucose and increases its uptake by cells. It also causes vasodilation of small arteries and increases heart rate.
alveoli;The balloon like cavity at the end of the bronchioles (the tiny tubes in the lungs). Each alveolus is surrounded by blood vessels to absorb the oxygen from the air and return carbon dioxide to the air. Each lung contains about 300 million alveoli.
anaesthetic;A drug or agent that causes loss of feeling or sensation of pain.
antagonist;"A term used to describe a drug that has an affinity for a specific cell receptors; agonists stimulate a response in the same way as the substance produced by the body which normally fits that receptor site, so increasing response."
antibiotic;A substance which inhibits the growth or destroys bacteria. Louis Pasteur and Paul Erlich were pioneering scientists in this field.
antibody;A protein molecule which helps to defend the body against disease. Antibodies are produced mostly by white blood cells in response to an antigen.
antifungal;A term used to describe a drug which destroys or suppresses the growth of fungi, often to used to treat fungal infections.
antigen;A process which gives immune resistance to a particular disease. It involves exposing the human or animal to the antigen in order to raise antibodies and provide an immune memory in that organism. The antigen is made harmless before exposure.
antigen;A substance which is foreign to the body which initiates an immune response. Most antigens are proteins, found on the surfaces of bacteria or viruses.
antiseptic;A substance that inhibits the growth and development of microorganisms without necessarily killing them.
antiviral;A drug which helps cells to defend themselves against viruses, by reducing DNA synthesis or by making cells more resistant to virus particle, or by surpressing their replication within the host cell.
arteries;Blood vessels that carry blood from the heart to the muscles and organs of the body. The blood is pressurised so they have thisck walls. The blood in the arteris is oxygenated and red (except for the pulmonary artery that takes blood from the heart to the lungs to pick up oxygen).
Aufbau Principle;The construction of the The Periodic Table from electronic configuration, building up by one electron at a time
Avogadro Constant;is approximately 6 x 1023 mol-1, the number of atoms per mole of 126C.
